datetime,open,high,low,close,volume,prev,article
2018-10-29 09:20,40800,40900,40750,40850,90497,50,【서울뉴시스】이진영 기자  반도체 투톱 삼성전자와 SK하이닉스가 29일 장 초반 약세다.  삼성전자는 이날 오전 9시 11분 현재 유가증권시장에서 전 거래일보다 300원0.73 내린 4만700원에 거래되고 있다. 같은 시각 SK하이닉스는 1500원2.24 떨어진 6만5500원에 매매되고 있다. 앞서 삼성전자와 SK하이닉스는 전 거래일 장중에 각각 4만400원 6만2900원까지 떨어지며 52주 신저가를 경신한 바 있다. mintnewsis.com저작권자ⓒ 한국언론 뉴스허브 뉴시스통신사. 무단전재재배포 금지.
2018-10-29 09:56,41050,41100,41050,41100,6777,50,용인문화재단이사장 백군기이 15일부터 19일까지 삼성전자 화성캠퍼스 DSR타워 로비에서 2018 삼성전자와 함께하는 지역 미술작가 초대전 화룡점정을 개최했다고 22일 밝혔다.2016년 시작해 올해로 3회째를 맞이한 이번 초대전은 삼성전자와 한국문화예술위원회가후원하고용인문화재단이 주최하고 있다.해당 전시회는 지역사회 미술가들에게 전시기회를 제공하고 시민과 삼성전자 임직원에게 예술작품 감상 기회를 공유하기 위기 위해 매년 개최되고 있다.용인시에 거주하면서공모를 통해 선발된 25명의 미술작가가 참여한 이번 초대전은 회화 조소 설치 분야 등 50점의 예술 작품이 전시됐다.한편 16일 오후 3시에 열린 초대전 개막식에는 양진철 용인시 제1부시장 삼성전자 DS부문 사회봉사단장 김선식 전무 초청 미술작가 25인 삼성전자 임직원 약 100명이 참석해 전시에 대한 의견을 나눴다.김형욱기자지난 15일부터 19일까지 삼성전자 화성캠퍼스 DSR타워 로비에서 열린 2018 삼성전자와 함께 하는 지역 미술작가 초대전 화룡점정에서 용인시립합창단이 공연을 하고 있는 모습. 사진용인문화재단중부일보httpwww.joongboo.com※위 기사는 중부일보 제휴기사로 법적인 책임과 권한은 중부일보에 있습니다.
2018-10-29 15:30,41400,41400,41400,41400,1084329,0,기술의 변화와 혁신이 전례 없는 규모와 속도로 이뤄지는 대전환의 시대를 맞고 있습니다. 인공지능AI 자율주행 신에너지 스마트 도시 등 새로운 흐름들이 산업 전반을 넘어 경제 사회의 기본 틀까지 바꾸는 패러다임 시프트가 곳곳에서 일어나고 있습니다.  그런 만큼 미래 주도권을 향한 기업의 생존 경쟁도 어느 때보다 치열해지고  있습니다. 메가 트렌드에 맞춰 새로운 성장동력을 발굴하고 주도하지 못하면 도태될 수밖에 없는 상황입니다.     뉴시스는 글로벌 경쟁에 나서는 국내 주요 기업들이 신수종 사업과 RD에 집중하고 있는 특집기사 ‘신수에 미래 건다’를 마련했습니다. 편집자 주 【서울뉴시스】이종희 기자  삼성전자는 신산업 분야의 리더십을 선점할 미래 성장 기술 확보에 역량을 결집하고 있다.     앞서 삼성은 인공지능AI·5G·바이오·전장을 4대 미래 성장사업으로 선정하고 집중 육성할 계획을 발표한 바 있다.  삼성전자는 부품사업의 경우 새로운 응용처 확대에 따른 수요 증가가 예상되고 세트사업은 소프트웨어와 커넥티비티 중심으로 사업 기회가 확대될 것으로 전망하고 있다.  이에 삼성전자는 인공지능AI·사물인터넷IoT 기반 다양한 기기와 서비스를 하나로 연결하는 전략을 통해 이러한 산업 트렌드 변화에 대응할 계획이다.  ◇전장사업 하만 인수 후 첫 결실...디지털 콕핏 선봬  삼성전자는 자동차 전장사업 진출을 위해 전사조직에 2015년 12월 전장사업팀을 신설하며 전장 사업을 신사업으로 키우기 위해 노력해왔다.  2016년 11월 삼성전자는 전장사업을 본격화하고 오디오 사업을 강화하기 위해 미국의 전장전문기업 하만Harman을 전격 인수 2017년 3월 11일미국 현지시간 10일 인수를 완료했다.   올해 1월 미국 라스베이거스에서 열린 CES에서 삼성전자는 하만과 공동 개발한 차량용 디지털 콕핏Digital Cockpit을 공개했다. 이번에 선보인 디지털 콕핏은 삼성전자가 하만 인수 후 처음으로 공동 개발한 사례로 삼성전자의 IT 기술과 하만의 전장기술이 접목된 첫 결실이다. 디지털 콕핏은 IoT로 연결되는 사물들을 집안의 기기들과 모바일 뿐만 아니라 자동차까지 확장시켰고 자동차의 핵심 가치인 안전성을 위해서는 운전 환경 정보를 보다 간결하게 제공할 수 있게 하는 등 차세대 모빌리티 라이프 스타일을 제시했다는 평가다.  디지털 콕핏에 적용된 사용자경험UX은 기존의 갤럭시 시리즈 스마트폰의 UX를 활용해 사용자들이 익숙하게 조작할 수 있게 했다.  디지털 콕핏의 하드웨어 부분에서는 운전석과 조수석 디스플레이를 2개의 OLED와 1개의 QLED로 구성했고 개인이 기능을 선택할 수 있는 다이얼은 스마트 워치의 경험을 반영해 3개의 노브Knob로 구현했다. 또 소프트웨어 측면에서는 차량용 빅스비를 통해 차량 내 에어컨·음량·조명 등을 조절할 수 있게 했으며 삼성전자의 통합 IoT 서비스인 스마트싱스를 통해 집 안의 기기들을 제어할 수 있도록 했다.◇자율주행에 투자...오토모티브 혁신 펀드 조성 삼성전자는 지난해 9월에는 삼성전자가 3억 달러 규모의 오토모티브 혁신 펀드Samsung Automotive Innovation Fund를 조성했다. 이 펀드는 스마트 센서 머신 비전 인공지능 커넥티비티 솔루션 보안 등 자율주행과 커넥티드카 분야의 기술 확보를 위해 운영중이다.  삼성전자는 이 펀드의 첫 번째 전략적 투자로 자율주행 플랫폼과 첨단 운전자 지원 시스템ADAS의 글로벌 리더십을 보유한 TTTech에 7500만 유로를 투자하기로 했다.  또한 하만은 커넥티드카 부문에 자율주행과 첨단 운전자 지원 시스템ADAS을 전담할 SBUStrategic Business Unit 조직을 신설해 SBU는 삼성전자 전략혁신센터SSIC와 협력해 보다 안전하고 스마트한 커넥티드카를 위한 핵심 기술 개발에 집중하고 있다.  삼성전자는 지난해 5월에 한국 8월에 미국 캘리포니아에서 자율주행 소프트웨어와 하드웨어를 시험하기 위해 자율주행 면허를 확보한 바 있다. 또 올해 1월에는 삼성전자가 신개념의 자율주행 솔루션 드라이브라인DRVLINE 플랫폼을 공개했다.  이 플랫폼은 자동차 업체와 모빌리티 서비스 업체가 각자의 니즈에 맞게 자율주행에 중요한 라이다 레이더 카메라 등의 센서와 부품 소프트웨어를 선택해 자동차와 서비스에 적용할 수 있도록 개방적이고 확장성을 지닌 모듈화된 자율주행 솔루션으로 평가받는다. ◇AI 자발적인 생태계 형성되도록 구축 노력 삼성전자는 AI를 활용해 제공하는 스마트폰 TV 냉장고 등 다양한 가전제품을 보다 인간에 가까운 인터페이스를 만들어 만족도를 높일 수 있다고 보고 있다.  이를 구현하기 위해 삼성전자는 오픈 이노베이션과 에코시스템 즉 생태계를 이용하고 모든 서비스를 통합하는 것이 아니라 자발적인 생태계가 형성되는 것이 중요하다고 판단하고 있다.   삼성전자는 이러한 전략을 구현하기 위해서 내부 기술 개발과 동시에 차별화된 기술을 가지고 있는 다른 회사들과 인수라든가 협력 파트너십을 통해서 기술을 개발하기 위해 노력해왔다.  이에 2016년 11월 삼성전자는 미국 실리콘 밸리 소재 AI 플랫폼 개발 기업인 비브 랩스를 인수했다. 이 회사의 AI 플랫폼은 외부 서비스 제공자들이 자유롭게 참여해 각자의 서비스를 자연어 기반의 인공지능 인터페이스에 연결할 수 있는 특징이 있다.  특히 삼성전자가 심화한 기술은 음성 인식 분야인데 삼성전자가 가지고 있는 음성 인식 분야와 비브 랩스가 가지고 있는 생태계를 조성하는 기술이 잘 접목하게 되면 강력한 AI 비서 서비스가 완성이 될 것이라고 보고 있다.  이러한 음성 비서 서비스가 삼성전자가 제공하고 있는 여러 제품들에 적용되고 나아가 IoT 시대의 다양한 디바이스에 접목돼 하나의 큰 통합된 인공지능 시스템을 만들 것으로 기대하고 있다. 이를 통해 사용자에게 가장 완성도 있는 서비스를 제공하는 것이 삼성전자의 목표다.  또한 2017년 11월 국내 스타트업 업체로는 처음으로 대화형 인공지능AI 서비스 스타트업 플런티를 인수했다. 플런티는 기계학습머신러닝 자연어 처리 등 대화형 AI 기술을 보유한 회사다.  이를 통해 AI 플랫폼 빅스비 성능 개선에 도움이 될 것으로 보고 있다. 삼성전자는 2020년까지 자사 모든 스마트기기에 인공지능 기술을 적용할 예정이다.  아울러 삼성전자는 지난해 11월 삼성 리서치Samsung Research를 출범시켰으며 산하에 AI 센터를 신설해 4차 산업혁명의 기반기술인 인공지능 관련 선행연구 기능을 강화한 바 있다.    삼성전자는 글로벌 네트워크 구축과 국내 산학협력을 통해 한국 AI총괄센터가 전세계 AI 연구의 허브Hub로서의 역할을 수행하도록 할 계획이며 선행 연구개발 인력을 2020년까지 1000명 이상으로 확대할 방침이다.  삼성전자는 새롭게 개소한 이들 연구센터의 지역별 강점을 적극 활용해 최고 수준의 연구 환경을 갖춰 AI 선행 연구를 수행해 나갈 예정이다. ◇5G 상용화 위한 국제 표준 주도 삼성전자는 2018년 5월 부산에서 3GPP3rd Generation Partnership Project 실무그룹 최종 회의를 개최하며 5G 상용화를 위한 국제 표준을 주도하고 있다.  이번 회의에서는 3GPP의 5G 이동통신 기술을 개발하는 실무그룹인 RAN 워킹그룹 5개가 참석해 5G 단독으로 동작하는 5G 단독모드Standalone에서 ▲초고속데이터와 초저지연 성능을 제공하는 5G 무선접속 기술 ▲5G 단말과 기지국의 전파방사 요구사항 ▲5G 단말기 평가방법 등 5G 상용 서비스를 위한 최종 기술을 공동으로 확정지었다.  삼성전자는 미국 1위 이동통신사업자 버라이즌 2위 ATT 4위 스프린트 등 미국 주요 이동통신사에 5G 통신장비를 공급하며 미국 핵심 통신장비 공급업체로서 자리를 확고히 하고 있으며 지난 7월에는 2019년 3월 세계 최초로 상용화 예정인 3.5GHz 대역 5G 통신장비도 공개한 바 있다. 2papersnewsis.com저작권자ⓒ 한국언론 뉴스허브 뉴시스통신사. 무단전재재배포 금지.
2018-10-30 09:30,42450,42450,42400,42400,29979,-50,【서울뉴시스】 김정호 기자  코스피 시가총액 1 2위 종목인 삼성전자005930와 SK하이닉스000660가 장 초반 상승세다. 미국이 중국 반도체 업체에 제재를 가했다는 소식이 호재로 작용했다.30일 유가증권시장에서 삼성전자는 오전 9시22분 현재 전 거래일보다 2.05 오른 4만2250원에 거래되고 있다. 이틀 연속 상승세다. SK하이닉스도 1.50 오른 6만7800원을 기록 중이다. 미국이 중국 반도체 수출에 제동을 걸었다는 소식이 주가를 끌어올리는 요인으로 작용해서다. 미국 상무부는 중국 푸젠진화반도체에 대한 수출을 제한하기로 했다고 로이터통신이 지난 29일현지시간 보도했다. 미 상무부는 해당 기업의 새 메모리 칩이 미국 군사 시스템용 칩 생산업체의 생존을 위협하는 심대한 위협이라면서 이같이 밝혔다고 통신은 전했다.미 상무부는 푸젠진화반도체를 소프트웨어와 기술 등의 수출을 제한하는 리스트Entity List에 올린 것으로 알려졌다. mapnewsis.com저작권자ⓒ 한국언론 뉴스허브 뉴시스통신사. 무단전재재배포 금지.
2018-10-30 11:00,42600,42650,42550,42600,9637,0,【서울뉴시스】김종민 기자  삼성전자가 픽셀 크기를 절반으로 줄이면서도 밝고 깨끗한 이미지를 촬영할 수 있는 0.8um마이크로미터 픽셀 이미지센서 신제품 아이소셀 브라이트 GM1과 아이소셀 브라이트 GD1을 선보인다.두 제품은 삼성전자가 출시한 이미지센서 중 가장 작은 크기의 픽셀 제품으로 테트라셀 기술을 적용해 1.6um 픽셀 크기의 이미지센서와 동일한 수준의 고감도 촬영이 가능하다.또 삼성전자는 두 제품에 아이소셀 플러스ISOCELL Plus 기술을 적용해 픽셀 간 간섭현상을 억제하면서도 광 손실을 획기적으로 줄여 색 재현성을 높였다.아이소셀 플러스는 신소재를 적용해 빛 간섭을 줄임으로써 작은 픽셀에서 고품질의 이미지를 구현한 삼성전자 자체 신기술로 카메라 감도를 최대 15까지 향상시킬 수 있다.◇아이소셀 브라이트 GM1테트라셀 기술을 적용한 4800만 초고화소 이미지센서 아이소셀 브라이트 GM1은 삼성전자의 이미지센서 중 가장 높은 화소의 제품이다.이 제품은 어두운 촬영 환경에서 4개의 픽셀을 1개처럼 동작시켜 감도를 4배 높임으로써 밝은 이미지 촬영을 가능하게 한다. ◇아이소셀 브라이트 GD13200만 화소 아이소셀 브라이트 GD1은 밝고 어두운 부분이 함께 있는 촬영 환경에서도 적절한 밝기와 풍부한 색감의 영상을 촬영할 수 있는 실시간 HDR 기능을 지원한다. 이 제품은 태양을 마주보고 있는 역광의 상황처럼 밝고 어두움의 차이가 큰 환경에서도 선명한 영상 촬영이 가능해 실시간 방송이나 화상회의에 큰 장점이 있다. 최근 카메라 기능이 스마트폰 제조사의 핵심 경쟁력으로 부각되며 하나의 기기에 고화소 이미지센서를 여러 개 탑재한 멀티 카메라 스마트폰이 속속 출시되고 있다.제조사들은 멀티 카메라와 베젤리스Bezelless 디자인의 큰 화면을 동시에 만족시킬 수 있는 고화질의 초소형 이미지센서를 필요로 한다. 두 신제품 이미지센서는 초소형 픽셀 사이즈와 테트라셀 기능으로 고화질과 초소형을 동시에 구현함으로써 스마트폰 제조사에게 제품 설계의 유연성을 제공할 것으로 기대된다.삼성전자 System LSI사업부 마케팅팀 허국 상무는 스마트폰에서 새로운 사용자 경험을 제공하기 위한 초소형 고화소 이미지센서 요구가 지속적으로 늘고 있다 며 삼성전자의 최첨단 기술을 집약한 0.8um 픽셀 이미지 센서로 고객 만족을 높여 나갈 것”이라고 강조했다. 삼성전자는 아이소셀 브라이트 GM1과 아이소셀 브라이트 GD1을 연내 양산할 계획이다. jmkimnewsis.com저작권자ⓒ 한국언론 뉴스허브 뉴시스통신사. 무단전재재배포 금지.
2018-10-30 12:00,42650,42650,42600,42650,23240,0,【서울뉴시스】심동준 기자  지난 2013년 1월 경기 화성 삼성전자 반도체공장에서 발생한 불산 누출 인명 사고와 관련해 회사는 형사 책임을 질 필요가 없다고 대법원이 판단했다.  반면 화학물질 설비 관리를 맡은 이 회사 직원 3명과 실제 현장에서 유지·보수를 한 하청업체 측은 관리 책임이 인정돼 하급심에서의 벌금형이 확정됐다. 대법원 1부주심 이기택 대법관는 업무상과실치사·상 및 산업안전보건법 위반 등 혐의로 기소된 삼성전자와 이 회사 임원 이모55씨의 상고심에서 무죄를 선고한 원심을 확정했다고 30일 밝혔다. 재판부는 화학물질과 관련한 안전보호구 구매 시설 점검 관련 업무 관련 결재의 최종 승인자가 각각 부장급·팀장급에 그친다는 점에서 임원인 이씨에게 죄가 될 정도의 책임이 없다고 봤다.  또 이씨의 책임이 인정되지 않는 이상 이를 전제로 적용한 삼성전자 측의 책임 또한 인정되지 않는다면서 회사 측에 형사 책임을 물을 수 없다고 판단했다.  이씨 등 삼성전자 임직원들은 지난 2013년 1월28일 공장에서 불산 누출로 인해 협력업체 소속 현장 작업자 1명이 사망하고 4명이 다친 사고에 대한 업무상과실 혐의로 기소됐다. 또 삼성전자의 협력사인 화학물질 공급설비업체 에스티아이서비스와 그 임직원 3명은 현장에 투입되는 작업자들에게 적절한 교육과 안전장비를 지급하지 않은 혐의로 재판에 넘겨졌다. 삼성전자와 이씨는 1·2심에서 각각 무죄를 받고 검찰이 상고하면서 이번에 대법원 판단이 이뤄졌다.  반면 이씨를 제외한 다른 삼성전자 직원들 에스티아이스비스와 그 임직원들은 상고가 이뤄지지 않아 별도의 대법원 심리 없이 항소심에서 받은 벌금형이 그대로 확정됐다. 사건은 2013년 1월27일 오후부터 다음날까지 반도체공장 화학물질 공급설비에서 발생한 불산 누출 사고에 대응하는 과정에서 벌어졌다.  다량의 불산 기체가 나오는 상황에서 작업자들은 같은 해 1월28일 오전 4시37분께부터 7시45분께까지 보호장비를 적절하게 착용하지 못한 상태에서 대응 작업을 진행한 것으로 조사됐다.  또 설비가동에 대한 결정권이 있는 삼성전자 직원은 사고 발생 즉시 현장을 찾아 조치하지 않는 등 삼성전자 측의 비상 대응도 적절히 이뤄지지 않았던 것으로 나타났다.  그 결과 현장 작업자 1명은 병원으로 옮겨져 불화수소산 중독 등 증세로 끝내 사망했으며 다른 작업자 4명도 화학물질 노출로 인해 치료를 받아야만 했다. 1심은 이씨는 이 사건 업무와 관련해 일반적·추상적인 주의 의무만을 부담할 뿐이라며 이씨와 삼성전자에 무죄를 선고했다.  반면 삼성전자 실무자급 직원 3명에게는 사내 규정과 관련 법규를 숙지하고 불산 누출에 따른 사고 위험성을 조금 더 심각하게 받아들였다면 충분히 막을 수 있었던 인재라며 각각 벌금 300만700만원을 선고했다. 또 협력업체에는 근로자들이 긴급 상황에 따라 적절히 대처하고 상황별 안전보호구를 착용할 수 있도록 해야 함에도 이를 게을리 했다면서 회사와 안전보건관리 책임자 등에게 각각 400만1000만원을 선고했다. 2심도 이씨가 공급시설 구축과 화학물질 공급업무 등을 담당하는 기술센터 임원이기는 하나 이 사건 업무와 관련해 구체적이고 직접적인 주의 의무를 부담한다고 보기 어렵다며 1심의 무죄를 유지했다.  삼성전자 실무자급 직원들과 협력업체에 대해서도 작업 당시 내산 기능이 있는 보호복이 갖춰져 있지 않았다 삼성전자 직원이 작업 현장에 없었던 것은 사고와 연관이 있다며 1심과 같이 벌금형을 선고했다. s.wonnewsis.com저작권자ⓒ 한국언론 뉴스허브 뉴시스통신사. 무단전재재배포 금지.
2018-10-30 14:29,42850,42850,42800,42850,21951,0,▲삼성전자 이미지센서 신제품 GM1 GD1©삼성전자삼성전자가 픽셀 크기를 절반으로 줄이면서도 밝고 깨끗한 이미지를 촬영할 수 있는 0.8um마이크로미터 픽셀 이미지센서 신제품 아이소셀 브라이트 GM1과 아이소셀 브라이트 GD1을 선보인다두 제품은 삼성전자가 출시한 이미지센서 중 가장 작은 크기의 픽셀 제품으로 테트라셀 기술을 적용해 1.6um 픽셀 크기의 이미지센서와 동일한 수준의 고감도 촬영이 가능하다.또한 삼성전자는 두 제품에 아이소셀 플러스ISOCELL Plus 기술을 적용해 픽셀 간 간섭현상을 억제하면서도 광 손실을 획기적으로 줄여 색 재현성을 높였다.아이소셀 플러스는 신소재를 적용해 빛 간섭을 줄임으로써 작은 픽셀에서 고품질의 이미지를 구현한 삼성전자 자체 신기술로 카메라 감도를 최대 15까지 향상시킬 수 있다.신근호 기자 danielbtbetanews.net 경제신문의 새로운 지평. 베타뉴스 www.betanews.net 
2018-10-31 09:01,42900,43100,42850,43000,889398,100,【서울뉴시스】김동현 기자  NH투자증권은 31일 미국 정부가 중국 반도체 굴기에 제동을 걸어 SK하이닉스 삼성전자 마이크론 등 기존 메모리 업체가 크게 수혜를 받을 전망이라고 밝혔다.  도현우 NH투자증권 연구원은 미국 상무부가 지난 29일 미국 기업이 중국 반도체 기업 푸젠진화반도체와 거래하기 위해서는 미국 정부의 승인을 얻어야 한다고 발표했다며 사실상 미국 기업과 푸젠진화반도체와의 거래를 전면 금지한 조치로 중국 반도체 굴기가 차질을 빚을 전망이라고 밝혔다.  도 연구원은 푸진반도체는 메모리 생산을 준비하는 중국 3개 기업 중 하나라며 2020년을 목표로 DRAM 생산을 준비하고 있는데 푸젠진화와 마이크론이 현재 기술 도용 소송 중이라 3개 기업중 푸젠진화가 제제 대상이 된 것으로 보인다. 향후 나머지 2개 기업도 제재 대상이 될 수 있다고 전망했다.  도 연구원은 이어 이번 미국 정부의 조치가 삼성전자 SK하이닉스 등 국내 메모리 업체들에게는 긍정적이라며 중국 메모리 업체 시장 진입이 최근 반도체 업체 주가에 부정적으로 작용했는데 이번 조치로 당분간 중국 메모리 반도체 굴기가 원천 봉쇄됨에 따라 시장 위협 요소 중 하나가 제거된 셈이라고 평가했다.  아울러 원익 IPS 테스 유진테크 주성엔지니어링 등 국내 반도체 장비 업체들도 수혜를 입을 가능성이 높다며 중국 메모리 업체가 미국 장비 대신 한국과 일본 같은 대체 국가 장비를 주로 구입하는 전략을 펼칠 수 있어 중국향 국내 장비 업체 수출이 늘어날 전망이라고 예상했다. oj1001newsis.com저작권자ⓒ 한국언론 뉴스허브 뉴시스통신사. 무단전재재배포 금지.
2018-10-31 09:06,43100,43200,43050,43150,125344,50,서울 강남구 삼성서초사옥. 중앙포토    삼성전자가 31일 이사회를 열고 1주당 354원의 분기 현금배당을 실시하기로 결정했다고 공시했다.          배당금은 보통주와 종류주가 동일하며 시가배당율은 보통주 0.8 종류주 1다.          배당금 총액은 2조4046억원에 달한다. 배당지급 예정일은 11월 20일이다.          홍수민 기자 suminjoongang.co.kr
2018-10-31 09:32,42750,42800,42700,42750,46918,0,【서울뉴시스】삼성전자는 올해 3분기 매출 65조4600억원 영업이익은 17조5700억원으로 집계됐다고 31일 공시했다. 그래픽안지혜 기자 hokmanewsis.com저작권자ⓒ 한국언론 뉴스허브 뉴시스통신사. 무단전재재배포 금지.
