,datetime,open,high,low,close,volume,prev,sub,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20
0,2020-11-0510:22,59700,59700,59600,59700,14657,0,0,-0.0017812865977760535,0.003270673422237472,0.0040858174376860465,-0.0011351510271808366,0.0015013272550574198,-0.00483496099522786,-0.0009659973107077666,-0.003645628769103056,-0.004613128723299271,-0.006358151139422746,0.006263545323983629,0.0009000259122288556,-0.004247215360098918,-0.0038973095365973758,0.00792554790418556,0.007151973442735457,0.007595530462124956,0.00189791811158688,-0.0034278150790971944,-0.005685714733315206
1,2020-11-0510:22,59700,59700,59600,59700,14657,0,0,-0.0017812865977760535,0.003270673422237472,0.0040858174376860465,-0.0011351510271808366,0.0015013272550574198,-0.00483496099522786,-0.0009659973107077666,-0.003645628769103056,-0.004613128723299271,-0.006358151139422746,0.006263545323983629,0.0009000259122288556,-0.004247215360098918,-0.0038973095365973758,0.00792554790418556,0.007151973442735457,0.007595530462124956,0.00189791811158688,-0.0034278150790971944,-0.005685714733315206
2,2020-11-0314:43,58700,58800,58700,58700,21066,0,0,-0.001888061966568123,-0.007256570084613533,-0.0051857830080353365,-0.002940419986241728,0.009342845047190136,-0.004190836621543643,0.001635888751551928,0.004626503195524261,0.00859688513532923,0.0041244354864825965,-0.002891565559307606,0.003450662456561593,-3.559658689597626e-05,-0.0017193935345208005,-0.004427227033331306,-0.004888613386924025,-0.0040509275823300325,0.0031990631894344068,0.003208060264072364,0.0012906518241655926
3,2020-11-0314:43,58700,58800,58700,58700,21066,0,0,-0.005463191061157199,-0.0056651442248166865,-0.006925308355378275,-0.0016014404230950453,-0.003581622204041334,0.0011228185205245872,0.004722594354650406,-0.003014187272353985,-0.006190261807616043,0.0025866464702788017,0.008042227666040734,-0.00734955000782261,0.001125024118684937,-0.0014370764109620398,0.003926767001782237,0.004095984960311106,0.002589430456564316,0.005856578508604907,0.005084934426896973,0.002074775282904231
4,2020-11-0211:38,57100,57100,57000,57100,4710,0,0,-0.004144477308180546,-0.004673141563687725,-0.007754020022559733,-0.002776612159897785,-0.0022924753221052925,-0.0007675069080064133,0.007042220107928774,-0.0037365029335685103,-0.004451925228480285,0.008441409299440546,-0.00021804144715895725,-0.0073259854417800935,0.0009201943764352387,-0.0016962767894613047,0.003370515449915042,0.0046726061931816,0.003143314320846368,0.0031425774574117197,0.0022107417606266984,0.006893386159100665
5,2020-10-2914:13,58000,58000,57900,58000,14814,0,0,-0.004670821243840675,-0.004423620069563481,-0.0018756665865952262,0.001482360652512959,-0.007321418071090703,8.468419748363326e-05,0.000776894473543887,0.009121723379840388,0.0052227918722683115,-0.003666011462939568,0.0042166140076577725,0.0004971702026506875,-0.0036592154709200178,-0.006517591692495936,-0.0026297136984400928,0.007458976087482869,0.00688790485144314,-0.001177640596623548,0.002628798863785944,-0.002436219696160361
6,2020-10-2313:16,60300,60300,60200,60200,3108,-100,0,-0.0046847451164447355,-0.0042057734052685005,-0.0030285551636114287,0.0016974262331372718,-0.006165913141585682,0.0007986527843807267,-0.00036255755429250735,0.008923342516321412,-0.003141328040736703,0.006223743857731572,-0.0035099429012051602,0.004932455947939661,0.007028409227121346,-0.0002673640163562103,-0.0042582883790909356,-0.005737494485688123,-0.0017765418925790246,0.0015432899783093213,0.007713858887520633,-0.00172267533560294
7,2020-10-2310:17,59900,60000,59800,59900,38183,0,0,-0.002813101013853569,0.0031026320782310025,-0.0043373930142071365,0.005613472336071834,0.001588356996075542,-0.007544972297794094,-0.0008347880252583216,0.0011966138041470402,0.00963748999463316,0.0006984777496609878,0.0056706687255236934,0.005046293164479157,-0.005132010527201063,0.002140051681214563,0.003953498351852014,-0.0017348037861609894,-0.007683339646294831,-0.0018675826980747645,-0.003764985960487049,-0.002934577912557177
8,2020-10-1913:05,60000,60000,59900,59900,21679,-100,0,-0.0028131010138534827,0.003102632078231109,-0.004337393014207004,0.005613472336071674,0.0015883569960755133,-0.007544972297794169,-0.0008347880252583728,0.0011966138041470946,-0.002934577912557207,0.0096374899946332,0.0006984777496609867,0.005670668725523728,0.002140051681214432,0.005046293164479136,-0.005132010527201086,0.0039534983518520455,-0.0017348037861608812,-0.007683339646294866,-0.0018675826980748009,-0.0037649859604870477
9,2020-10-1409:10,60800,60800,60700,60800,23967,0,0,-0.002813101013853539,0.003102632078231016,-0.004337393014207057,0.005613472336071778,0.0015883569960755332,0.005670668725523709,-0.003764985960487047,-0.007544972297794154,-0.0008347880252583281,0.0011966138041470632,-0.0029345779125572,0.009637489994633168,0.0006984777496609867,0.002140051681214532,0.005046293164479154,-0.00513201052720105,0.003953498351852017,-0.0017348037861609582,-0.007683339646294848,-0.0018675826980747766
